1kP_Sample	Clade	Family	Species	Tissue Type	Status	Voucher Data	Sample Provider	RNA Extractor
URDJ	Basalmost angiosperms	Amborellaceae	Amborella trichopoda	leaves	sequenced	Soltis and Miles 2778	D. Soltis	BGI
WTKZ	Basalmost angiosperms	Nymphaeaceae	Nuphar advena	young leaves	sequenced	Soltis and Miles 2783	D. Soltis	BGI
PZRT	Basalmost angiosperms	Nymphaeaceae	Nymphaea sp.	young leaves	sequenced	T. Chen et al. 2010090805	Tao Chen	BGI
ROAP	Basalmost angiosperms	Schisandraceae (incl. Illiciac.)	Illicium parviflorum	leaves	sequenced	Soltis and Miles 2799	D. Soltis	BGI
VZCI	Basalmost angiosperms	Schisandraceae (incl. Illiciac.)	Illicium floridanum	young leaves	sequenced	Soltis and Miles 2960	D. Soltis	D. Soltis
NWMY	Basalmost angiosperms	Schisandraceae (incl. Illiciac.)	Kadsura heteroclita	leaves	sequenced	T. Chen et. al. 081210-04	Tao Chen	BGI
FZJL	Basalmost angiosperms	Austrobaileyaceae	Austrobaileya scandens	young shoot	sequenced	JLM2013-22 (GA)	J. Leebens-Mack	J. Leebens-Mack
NPND	Basalmost angiosperms	Ceratophyllaceae	Ceratophyllum demersum	leaves	sequenced	Soltis and Miles 2755	D. Soltis	BGI
DDEV	Magnoliids	Canellaceae	Canella winterana	young leaves	sequenced	Soltis and Miles 2995	D. Soltis	I. Jordon-Thaden
IFCJ	Magnoliids	Canellaceae	Canella winterana	young leaves	sequenced	Soltis and Miles 2995	D. Soltis	D. Soltis
WKSU	Magnoliids	Winteraceae	Drimys winteri	leaves	sequenced	Soltis and Miles 2843	D. Soltis	BGI
WAIL	Magnoliids	Atherospermataceae	Laurelia sempervirens		sequenced		J. Leebens-Mack	J. Leebens-Mack
FALI	Magnoliids	Calycanthaceae	Calycanthus floridus	leaves	sequenced	Soltis and Miles 2752	D. Soltis	BGI
WPHN	Magnoliids	Calycanthaceae	Idiospermum australiense	young shoot	sequenced	JLM2013-45 (GA)	J. Leebens-Mack	J. Leebens-Mack
MAQO	Magnoliids	Gomortegaceae	Gomortega keule		sequenced		J. Leebens-Mack	J. Leebens-Mack
BSVG	Magnoliids	Hernandiaceae	Gyrocarpus americanus	young leaves	sequenced	Soltis and Miles 2908	D. Soltis	BGI
BCGB	Magnoliids	Lauraceae	Cinnamomum camphora	leaves	sequenced	DWS NY424/43	D. W. Stevenson	BGI
ABSS	Magnoliids	Lauraceae	Sassafras albidum	young leaves	sequenced	Soltis and Miles 2914	D. Soltis	BGI
KAYP	Magnoliids	Lauraceae	Lindera benzoin	young leaves	sequenced	Soltis & Miles 2968	D. Soltis	D. Soltis
WIGA	Magnoliids	Lauraceae	Persea borbonia	young leaves and shoots	sequenced	Soltis and Miles 2980	D. Soltis	D. Soltis
VYLQ	Magnoliids	Lauraceae	Cassytha filiformis		sequenced		J. Leebens-Mack	J. Leebens-Mack
KRJP	Magnoliids	Monimiaceae	Peumus boldus	leaves	sequenced	Chase 34466 K	M. Chase	BGI
YZRI	Magnoliids	Annonaceae	Annona muricata	leaves	sequenced	Soltis and Miles 2753	D. Soltis	BGI
PSJT	Magnoliids	Annonaceae	Uvaria microcarpa	young leaves	sequenced	T. Chen et. al. 2010090803	Tao Chen	BGI
DHPO	Magnoliids	Eupomatiaceae	Eupomatia bennettii	leaves	sequenced	Soltis and Miles 2750	D. Soltis	BGI
XQWC	Magnoliids	Magnoliaceae	Michelia maudiae	young leaves	sequenced	Soltis and Miles 2954	D. Soltis	D. Soltis
WBOD	Magnoliids	Magnoliaceae	Magnolia grandiflora	leaves	sequenced	Soltis and Miles 2764	D. Soltis	BGI
OBPL	Magnoliids	Myristicaceae	Myristica fragrans	leaves	sequenced	Chase 33144	M. Chase	BGI
PAWA	Magnoliids	Aristolochiaceae	Aristolochia elegans	leaves	sequenced	Soltis and Miles 2754	D. Soltis	BGI
QDVW	Magnoliids	Aristolochiaceae	Saruma henryi	leaves	sequenced	in preparation	C. dePamphilis	C. dePamphilis
MUNP	Magnoliids	Piperaceae	Piper auritum	leaves	sequenced	Soltis and Miles 2794	D. Soltis	BGI
XSZI	Magnoliids	Piperaceae	Peperomia fraseri	"flowers	 stem	 leaves"	sequenced	132712 (ALTA)	M. Deyholos	M. Deyholos
OPDF	Magnoliids	Saururaceae	Saururus cernuus	leaves	sequenced	Soltis and Miles 2784	D. Soltis	BGI
CSSK	Magnoliids	Saururaceae	Houttuynia cordata	leaves	sequenced	T. Chen et. al. 081210-03	Tao Chen	BGI
WPYJ	Magnoliids	Frankeniaceae	Frankenia laevis		sequenced	JLM2013-41 (GA)	J. Leebens-Mack	J. Leebens-Mack
OSHQ	Chloranthales	Chloranthaceae	Sarcandra glabra	leaves	sequenced	T. Chen et. al. 081210-04	Tao Chen	BGI
WZFE	Chloranthales	Chloranthaceae	Ascarina rubricaulis		sequenced		J. Leebens-Mack	J. Leebens-Mack
IWMW	Basal Eudicots	Buxaceae	Buxus sempervirens	green branch with attached leaves	sequenced	132722 (ALTA)	M. Deyholos	M. Deyholos
AALA	Basal Eudicots	Sabiaceae	Meliosma cuneifolia	leaves	sequenced	Chase 33142	M. Chase	BGI
SWOH	Basal Eudicots	Trochodendraceae	Trochodendron aralioides	young leaves and flowers	sequenced	DWS NY 334/82A	D. W. Stevenson	BGI
FAKD	Basal Eudicots	Nelumbonaceae	Nelumbo sp.	leaves	sequenced	Chase 34460 K	M. Chase	BGI
GRRW	Basal Eudicots	Proteaceae	Grevillea robusta	leaves	sequenced	Soltis and Miles 2758	D. Soltis	BGI
REOF	Basal Eudicots	Proteaceae	Hakea prostrata	young roots	sequenced	Perth 07984049	R. Jost	R. Jost
OBOJ	Basal Eudicots	Proteaceae	Hakea prostrata	young leaves	sequenced	Perth 07984049	R. Jost	R. Jost
SIIK	Basal Eudicots	Proteaceae	Hakea drupacea	young shoot	sequenced	J. Clopton 212 (PERTH)	P. M. Finnegan	R. Jost
VQFW	Basal Eudicots	Platanaceae	Platanus occidentalis	leaves	sequenced	Soltis and Miles 2757	D. Soltis	BGI
WFBF	Basal Eudicots	Berberidaceae	Podophyllum peltatum	leaves and root	sequenced	in preparation	M. Deyholos	M. Deyholos
YHFG	Basal Eudicots	Berberidaceae	Nandina domestica	young leaves and flower buds	sequenced	Soltis and Miles 2972	D. Soltis	D. Soltis
QTJY	Basal Eudicots	Eupteleaceae	Euptelea pleiosperma	leaves	sequenced	Chase 33135 	M. Chase	BGI
CCID	Basal Eudicots	Lardizabalaceae	Akebia trifoliata	leaves	sequenced	Soltis and Miles 2751	D. Soltis	BGI
LVNW	Basal Eudicots	Menispermaceae	Cocculus laurifolius	leaves	sequenced	Soltis and Miles 2837	D. Soltis	BGI
